A1,,B1,,C1,,D1,,E1,,F1,,G1,,H1,
29.81,0.01654562,29.81,0.01694165,29.81,0.03456075,29.81,0.02159762,29.81,0.01977398,29.81,0.01532879,29.81,0.01903275,29.81,0.01215351
30.01,0.02053192,30.01,0.01466481,30.01,0.03192297,30.01,0.02620832,30.01,0.01370446,30.01,0.0149111,30.01,0.0169858,30.01,0.01188141
30.2,0.01938036,30.2,0.01547424,30.2,0.0334059,30.2,0.02689518,30.2,0.0184741,30.2,0.02002832,30.2,0.01288595,30.2,0.01254963
30.39,0.01752129,30.39,0.01284356,30.39,0.02822121,30.39,0.02663539,30.39,0.01995214,30.39,0.01578927,30.39,0.01997336,30.39,0.0175424
30.61,0.02235647,30.61,0.01635925,30.61,0.03684795,30.61,0.02266349,30.61,0.01700617,30.61,0.01325609,30.61,0.01075609,30.61,0.01143394
30.81,0.01861378,30.81,0.01524167,30.81,0.0294179,30.81,0.02329278,30.81,0.01890152,30.81,0.01479328,30.81,0.01350848,30.81,0.01158951
31.01,0.01931373,31.01,0.01457864,31.01,0.02835423,31.01,0.02785148,31.01,0.02059135,31.01,0.01681124,31.01,0.01420812,31.01,0.00992489
31.2,0.01994094,31.2,0.01078992,31.2,0.03053291,31.2,0.017375,31.2,0.0184778,31.2,0.01202764,31.2,0.01340868,31.2,0.01483823
31.4,0.0192135,31.4,0.01462088,31.4,0.03123455,31.4,0.02490465,31.4,0.01648946,31.4,0.01230159,31.4,0.01477421,31.4,0.01482271
31.59,0.01735973,31.59,0.0149894,31.59,0.03392177,31.59,0.03046575,31.59,0.02226117,31.59,0.01822191,31.59,0.01396371,31.59,0.01458211
31.81,0.01842072,31.81,0.01351332,31.81,0.03198949,31.81,0.02590114,31.81,0.02138884,31.81,0.01700506,31.81,0.01443283,31.81,0.01248467
32.01,0.02056688,32.01,0.01412665,32.01,0.03232828,32.01,0.02516403,32.01,0.0173002,32.01,0.01511892,32.01,0.017349,32.01,0.01077285
32.2,0.0201102,32.2,0.01627094,32.2,0.03331402,32.2,0.02661943,32.2,0.02106272,32.2,0.01452932,32.2,0.01645813,32.2,0.01386984
32.4,0.01961295,32.4,0.01613187,32.4,0.03307289,32.4,0.03149793,32.4,0.01833615,32.4,0.01703274,32.4,0.01917808,32.4,0.01080617
32.6,0.02175109,32.6,0.01504694,32.6,0.02593723,32.6,0.02613235,32.6,0.01627374,32.6,0.0110236,32.6,0.01506348,32.6,0.00749967
32.81,0.02143504,32.81,0.01496294,32.81,0.03000642,32.81,0.0270503,32.81,0.01653304,32.81,0.0129168,32.81,0.01925044,32.81,0.01378203
33.01,0.02000526,33.01,0.01344987,33.01,0.03238955,33.01,0.02640164,33.01,0.01914816,33.01,0.01344573,33.01,0.0142745,33.01,0.01284199
33.21,0.01875319,33.21,0.01655606,33.21,0.03118802,33.21,0.02204081,33.21,0.01992482,33.21,0.01641602,33.21,0.0155003,33.21,0.01329266
33.4,0.01604483,33.4,0.01923084,33.4,0.03059803,33.4,0.02335336,33.4,0.02032495,33.4,0.01806463,33.4,0.01547236,33.4,0.0143022
33.6,0.0206614,33.6,0.01829524,33.6,0.03411515,33.6,0.02478129,33.6,0.0170091,33.6,0.01597551,33.6,0.01589946,33.6,0.01188958
33.8,0.01959646,33.8,0.0194985,33.8,0.03196609,33.8,0.03172319,33.8,0.02322275,33.8,0.01586566,33.8,0.01481272,33.8,0.01604668
33.99,0.0205369,33.99,0.01501327,33.99,0.03324302,33.99,0.02593375,33.99,0.01981627,33.99,0.0162378,33.99,0.01470323,33.99,0.01608484
34.21,0.01718209,34.21,0.01595356,34.21,0.02981895,34.21,0.02502323,34.21,0.02054675,34.21,0.01477062,34.21,0.0182423,34.21,0.01518629
34.41,0.02242009,34.41,0.01503423,34.41,0.03045463,34.41,0.02566882,34.41,0.02101819,34.41,0.01520111,34.41,0.01819129,34.41,0.01525274
34.6,0.02192226,34.6,0.0186298,34.6,0.03256861,34.6,0.0278034,34.6,0.01831004,34.6,0.01106286,34.6,0.02171509,34.6,0.01384006
34.8,0.01927869,34.8,0.01873875,34.8,0.03093433,34.8,0.02302395,34.8,0.01912834,34.8,0.01746533,34.8,0.01547574,34.8,0.01550991
35.01,0.01719102,35.01,0.01278143,35.01,0.03162088,35.01,0.02297953,35.01,0.01996537,35.01,0.01649302,35.01,0.02213038,35.01,0.01464006
